State code,State,Municipality code,Municipality,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Cases 2015,Cases 2016,Cases 2017,Cases 2018,Cases 2019,Age 0-4 (%),Age 5-14 (%),Age 15-29 (%),Age >30 (%),Afrocolombian Population (%),Indian Population (%),People with Disabilities (%),People who cannot read or write (%),Secondary/Higher Education (%),Employed population (%),Unemployed population (%),People doing housework (%),Retired people (%),Men (%),Women (%),Households without water access (%),Households without internet access (%),Building stratification 1 (%),Building stratification 2 (%),Building stratification 3 (%),Building stratification 4 (%),Building stratification 5 (%),Building stratification 6 (%),Number of hospitals per Km2,Number of houses per Km2
5,Antioquia,5347,Heliconia,6088,5777,5508,5451,5400,4,41,0,2,1,4.93,13.25,20.98,60.84,0.45,0.13,19.56,9.37,37.01,36.38,3.78,25.8,2.04,52.33,47.67,4.17,56.56,0.24990432453119021,0.3520857252200536,0.019135093761959432,0.0003827018752391887,0.0,0.0003827018752391887,0.008547008547008548,14.196581196581196
5,Antioquia,5353,Hispania,5358,5366,5380,5469,5530,9,60,4,2,0,5.84,14.89,23.47,55.8,0.79,0.22,15.56,9.56,42.53,36.46,6.08,17.68,2.42,49.78,50.22,17.55,59.73,0.1072219760744351,0.5050952591936199,0.13026140894993354,0.0,0.0,0.00044306601683650863,0.017241379310344827,29.137931034482758
5,Antioquia,5360,Itagüí,268463,269966,272206,276744,283794,251,2857,120,54,56,4.83,11.21,25.94,58.02,0.83,0.12,9.03,2.54,68.91,45.17,4.96,14.25,5.7,47.7,52.3,1.27,24.43,0.06459981423950294,0.33670691477436504,0.4362062155035284,0.03953282302576092,0.00043771151608322924,0.0003736561722661713,0.9411764705882353,4876.176470588235
5,Antioquia,5361,Ituango,26492,26534,26589,27074,27419,8,103,3,0,2,5.93,15.82,27.19,51.05,0.59,2.01,6.83,11.92,41.9,24.71,3.57,18.25,0.3,61.07,38.93,28.54,64.64,0.4261159227181879,0.17028647568287808,0.029713524317121917,0.00013324450366422385,0.00013324450366422385,0.0,0.00042643923240938164,2.3680170575692965
5,Antioquia,5364,Jardín,14255,14286,14309,14518,14662,3,14,0,4,3,5.56,14.01,23.23,57.2,0.49,10.98,10.89,6.71,48.05,40.88,2.16,23.26,2.52,50.01,49.99,14.59,63.42,0.1705244122965642,0.43236889692585895,0.15262206148282098,0.0037974683544303796,0.00054249547920434,0.00018083182640144665,0.004464285714285714,19.15625
5,Antioquia,5368,Jericó,14067,13710,13536,13640,13637,2,22,5,1,0,4.85,12.3,21.15,61.69,0.21,0.02,9.41,7.45,48.72,37.08,4.12,24.47,2.14,49.57,50.43,9.76,55.62,0.10143522110162917,0.42979053529868116,0.19026377036462375,0.008727695888285493,0.0003878975950349108,0.0007757951900698216,0.0051813471502590676,19.735751295336787
5,Antioquia,5376,La Ceja,55997,58995,62209,64889,66746,1,4,0,0,2,5.31,12.79,25.56,56.34,0.34,0.03,4.95,3.34,61.57,45.0,2.87,15.73,4.99,48.51,51.49,4.35,30.07,0.01170088765354613,0.15578768044472338,0.5191876625123285,0.07096745270330852,0.02205684569174213,0.0005828028333183897,0.061068702290076333,133.70992366412213
5,Antioquia,5380,La Estrella,57441,65281,69425,71545,73696,22,223,12,2,17,4.87,11.57,25.48,58.07,0.54,0.02,9.15,2.99,68.36,47.91,3.81,13.69,5.26,48.36,51.64,2.32,27.0,0.07225890072501924,0.4383733646563247,0.24755964194580582,0.10612013447284216,0.007857750415164648,0.0012556199117015675,0.08571428571428572,620.3714285714286
5,Antioquia,5390,La Pintada,7916,7936,8003,8114,8298,40,53,17,1,7,6.02,14.43,28.33,51.22,1.09,0.11,10.62,10.2,48.7,43.49,4.53,19.12,1.12,50.16,49.84,3.59,60.49,0.3126769424347279,0.3658383139351997,0.06291286568103177,0.019502988361119848,0.01100975149418056,0.0012582573136206354,0.01818181818181818,45.654545454545456
5,Antioquia,5400,La Unión,20450,20680,20958,21475,21963,0,4,0,1,0,6.03,15.02,26.64,52.31,0.24,0.01,14.28,6.07,47.14,46.36,1.66,17.37,1.79,49.7,50.3,11.82,58.71,0.07030205827318899,0.5795241913926757,0.15918203688853247,0.0012028869286287089,0.00040096230954290296,0.0,0.010101010101010102,30.97979797979798
